,HS_CODE
1944,1605631000
1945,1605639000
1946,1605691000
1947,1605699000
1948,1701121000
1949,1701122000
1950,1701130000
1951,1701141000
1952,1701142000
1953,1701910000
1954,1701990000
1955,1702111000
1956,1702119000
1957,1702191000
1958,1702199000
1959,1702201000
1960,1702202000
1961,1702301000
1962,1702302000
1963,1702401000
1964,1702402000
1965,1702500000
1966,1702601000
1967,1702602000
1968,1702901000
1969,1702902000
1970,1702903000
1971,1702909000
1972,1703101000
1973,1703109000
1974,1703901000
1975,1703909000
1976,1704100000
1977,1704901000
1978,17049020
1979,1704902010
1980,1704902020
1981,1704902090
1982,1704909000
1983,1801001000
1984,1801002000
1985,1802001000
1986,1802009000
1987,1803100000
1988,1803200000
1989,1804000000
1990,1805000000
1991,1806100000
1992,1806201000
1993,18062090
1994,1806209010
1995,1806209090
1996,1806311000
1997,1806319000
1998,1806321000
1999,1806329000
2000,1806901000
2001,1806902
2002,18069021
2003,180690211
2004,1806902111
2005,1806902119
2006,180690219
2007,1806902191
2008,1806902199
2009,18069022
2010,1806902210
2011,1806902290
2012,18069029
2013,1806902910
2014,1806902920
2015,180690299
2016,1806902991
2017,1806902992
2018,1806902999
2019,18069030
2020,1806903010
2021,180690309
2022,1806903091
2023,1806903099
2024,18069090
2025,1806909010
2026,1806909090
2027,19011010
2028,1901101010
2029,1901101090
2030,19011090
2031,1901109010
2032,1901109090
2033,1901201000
2034,1901202000
2035,1901209000
2036,1901901000
2037,19019020
2038,1901902010
2039,1901902020
2040,19019090
2041,1901909010
2042,190190909
2043,1901909091
2044,1901909092
2045,1901909099
2046,1902111000
2047,1902112000
